nu,gamma,estimated_gamma,gamma_deviation,bias,auditor
0.0,0.0,0.014163850820092323,0.00781037195095059,0.014163850820092323,dt
0.18181818181818182,0.005000000000000001,0.01434837490185556,0.009164860684547402,0.009348374901855559,dt
0.33333333333333337,0.010000000000000002,0.02193010661778369,0.005911416511651667,0.011930106617783688,dt
0.4615384615384615,0.015,0.022518162169165877,0.007176082332361194,0.007518162169165878,dt
0.5714285714285715,0.020000000000000004,0.0272737106908436,0.0077813773514659535,0.007273710690843597,dt
0.6666666666666666,0.025,0.033334660888297264,0.00597236386340241,0.008334660888297263,dt
0.7499999999999999,0.03,0.0365174982555788,0.005764622798630783,0.006517498255578798,dt
0.8235294117647058,0.034999999999999996,0.04191126510874456,0.006711272072159069,0.006911265108744562,dt
0.888888888888889,0.04000000000000001,0.0438872943819152,0.005795144066909669,0.0038872943819151934,dt
0.9473684210526316,0.045000000000000005,0.050859654095889884,0.006282016753012513,0.005859654095889878,dt
1.0,0.05,0.0547718526209192,0.005589340126575786,0.004771852620919198,dt
0.0,0.0,0.012136347390081858,0.0070399837701830325,0.012136347390081858,rf
0.18181818181818182,0.005000000000000001,0.019825773564549037,0.006399315254584793,0.014825773564549036,rf
0.33333333333333337,0.010000000000000002,0.022494811311695572,0.007767907952441719,0.01249481131169557,rf
0.4615384615384615,0.015,0.02189956252768389,0.005823713579500318,0.006899562527683891,rf
0.5714285714285715,0.020000000000000004,0.028181910622220696,0.00444803584520076,0.008181910622220692,rf
0.6666666666666666,0.025,0.031211933125899833,0.008789494276621878,0.006211933125899832,rf
0.7499999999999999,0.03,0.03719178994330717,0.00752703420825477,0.0071917899433071725,rf
0.8235294117647058,0.034999999999999996,0.042775472715370404,0.006368769679691447,0.007775472715370407,rf
0.888888888888889,0.04000000000000001,0.044883661780637726,0.005123002429620018,0.004883661780637719,rf
0.9473684210526316,0.045000000000000005,0.05008093544336443,0.006104921891720864,0.005080935443364423,rf
1.0,0.05,0.05297513643201326,0.005786131390869757,0.002975136432013255,rf
0.0,0.0,0.010500684949512338,0.009620747296798885,0.010500684949512338,svm_rbf
0.18181818181818182,0.005000000000000001,0.011037113878757056,0.00785485120339469,0.006037113878757055,svm_rbf
0.33333333333333337,0.010000000000000002,0.014173796180670365,0.006775935575159443,0.004173796180670363,svm_rbf
0.4615384615384615,0.015,0.01986828421213549,0.004761664302802519,0.00486828421213549,svm_rbf
0.5714285714285715,0.020000000000000004,0.02632263174003463,0.005815321431125377,0.006322631740034626,svm_rbf
0.6666666666666666,0.025,0.028475880242358947,0.006847648658653889,0.003475880242358946,svm_rbf
0.7499999999999999,0.03,0.033827640279459746,0.005837811942104553,0.0038276402794597472,svm_rbf
0.8235294117647058,0.034999999999999996,0.040857613664610916,0.005656846865426505,0.0058576136646109195,svm_rbf
0.888888888888889,0.04000000000000001,0.043952689016358445,0.004229991592073767,0.003952689016358438,svm_rbf
0.9473684210526316,0.045000000000000005,0.04776508983405324,0.005731379099705947,0.0027650898340532346,svm_rbf
1.0,0.05,0.049852734129992846,0.005331397947863553,-0.00014726587000715718,svm_rbf
0.0,0.0,0.01034707818866017,0.007575862564589284,0.01034707818866017,svm_linear
0.18181818181818182,0.005000000000000001,0.01589640146578361,0.006605602628004711,0.01089640146578361,svm_linear
0.33333333333333337,0.010000000000000002,0.017026649131316473,0.0062908806980969175,0.007026649131316471,svm_linear
0.4615384615384615,0.015,0.02274058541692362,0.0062439616462234265,0.007740585416923622,svm_linear
0.5714285714285715,0.020000000000000004,0.026721850674043323,0.006830304622674608,0.006721850674043319,svm_linear
0.6666666666666666,0.025,0.030475763638086295,0.005964424922091933,0.005475763638086294,svm_linear
0.7499999999999999,0.03,0.03454813003441962,0.007576853620054871,0.004548130034419624,svm_linear
0.8235294117647058,0.034999999999999996,0.0384446820670616,0.0074781659850661954,0.003444682067061604,svm_linear
0.888888888888889,0.04000000000000001,0.04352223428852444,0.007979415185686593,0.0035222342885244326,svm_linear
0.9473684210526316,0.045000000000000005,0.050094362120784754,0.0057322297936178036,0.005094362120784748,svm_linear
1.0,0.05,0.0548728783253717,0.00524328515686511,0.004872878325371699,svm_linear
