nu,delta,estimated_delta,gamma_deviation,bias,step
0.0,-0.003206757228322002,0.42285685082003355,5.551115123125783e-17,0.4260636080483555,0.015
0.18181818181818182,0.19746393823382924,0.08154700213814607,0.06542174044073842,-0.11591693609568317,0.015
0.33333333333333337,0.40225835087984235,0.01811046041470974,0.1904070968882261,-0.3841478904651326,0.015
0.4615384615384615,0.6158324511779014,0.4406431577366551,0.15827945232294927,-0.17518929344124634,0.015
0.5714285714285715,0.8440911031588818,0.7883645882107666,0.16637883240945073,-0.0557265149481152,0.015
0.6666666666666666,1.0954055314397875,1.0669409095088893,0.09486201734212747,-0.02846462193089816,0.015
0.7499999999999999,1.3830876038915683,1.3002464501591253,0.10233406780521648,-0.08284115373244294,0.015
0.8235294117647058,1.7313942981597843,1.5545005276095465,0.15114853945104229,-0.1768937705502378,0.015
0.888888888888889,2.194017820107898,1.9802646363077425,0.17633820275279619,-0.21375318380015562,0.015
0.9473684210526316,2.9412322219381197,2.476015633719415,0.13946586884694664,-0.4652165882187047,0.015
