nu,delta,estimated_delta,delta_deviation,bias,balancing,unbablance
0.6666666666666666,1.014465076923936,1.3896257467246471,0.0,0.37516066980071106,MMD_NET,-0.2
0.6666666666666666,1.0101191414939845,1.3635752227805757,0.0,0.35345608128659123,Uniform,-0.2
0.6666666666666666,1.0142339490582486,1.4815385638948393,0.0,0.4673046148365907,IS,-0.2
0.6666666666666666,1.0512413523054902,1.5706282646076737,0.0,0.5193869123021835,MMD_NET,-0.1
0.6666666666666666,1.0554264270645102,1.1706980154410638,0.0,0.1152715883765536,Uniform,-0.1
0.6666666666666666,1.0459349369212447,1.4720958863128015,0.0,0.4261609493915568,IS,-0.1
0.6666666666666666,1.087186602715823,1.1201033395037727,0.0,0.03291673678794971,MMD_NET,0.0
0.6666666666666666,1.1008603225859919,1.1528119909772307,0.0,0.05195166839123888,Uniform,0.0
0.6666666666666666,1.0915398072012137,1.1858921137198142,0.0,0.09435230651860049,IS,0.0
0.6666666666666666,1.148870449879899,0.7822268106136342,0.0,-0.36664363926626475,MMD_NET,0.1
0.6666666666666666,1.1461221093922263,0.7757417665909858,0.0,-0.37038034280124044,Uniform,0.1
0.6666666666666666,1.1488696390371191,0.9720495653596803,0.0,-0.1768200736774388,IS,0.1
0.6666666666666666,1.1862696988155133,0.9954192689072595,0.0,-0.19085042990825374,MMD_NET,0.2
0.6666666666666666,1.1837882501116899,0.9868785190139538,0.0,-0.19690973109773602,Uniform,0.2
0.6666666666666666,1.191162315697357,0.8985293099434162,0.0,-0.2926330057539408,IS,0.2
